"id","title.orig","title.Arab","title.Latn","language.main","language.other","date.onset","date.terminus","location.id","toponym","toponym.Arab","toponym.Latn","lat","long","holdings","digitised"
"jaraid:t1r2099","المحيط","المحيط","al-Muḥīṭ","ar","NA","1901","","geon:5128581","New York City","نيويورك","New York City","40.71427","-74.00597","F","F"
"jaraid:t1r880","العاصمة","العاصمة","al-ʿĀṣima","ar","NA","1901","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","F","F"
"jaraid:t1r1904","مجلة الملاجىء العباسية","مجلة الملاجىء العباسية","Majallat al-Malājiʾ al-ʿAbbāsiyya","ar","NA","1901","","geon:361058","Alexandria","الإسكندرية","al-Iskandariyya","31.20176","29.91582","F","F"
"jaraid:t1r1902","المجلة الماسونية","المجلة الماسونية","al-Majalla al-Māsūniyya","ar","NA","1901-01-01","","geon:361058","Alexandria","الإسكندرية","al-Iskandariyya","31.20176","29.91582","F","F"
"jaraid:t1r1534","المجلة الصحية","المجلة الصحية","al-Majalla al-Ṣiḥḥiyya","ar","NA","1901-01-01","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","F","F"
"jaraid:t1r1988","بشائر السلام","بشائر السلام","Bashāʾir al-Salām","ar","NA","1901-01-01","","geon:359796","Suez","سويس","Suways","29.97371","32.52627","F","F"
"jaraid:t1r2011","بشائر السلام","بشائر السلام","Bashāʾir al-Salām","ar","NA","1901-01-01","","geon:358840","Bilbeis","بلبيس","Balbīs","30.42039","31.56223","F","F"
"jaraid:t1r1252","نجم المشرق","نجم المشرق","Najm al-Mashriq","ar","NA","1901-01-01","","geon:361058","Alexandria","الإسكندرية","al-Iskandariyya","31.20176","29.91582","F","F"
"jaraid:t1r870","صدى لبنان","صدى لبنان","Ṣadā Lubnān","ar","NA","1901-01-02","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","T","F"
"jaraid:t1r871","النسناس","النسناس","al-Nisnās","ar","NA","1901-01-13","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","F","F"
"jaraid:t1r1253","النجات","النجات","al-Najāt","ar","NA","1901-03-18","","geon:361058","Alexandria","الإسكندرية","al-Iskandariyya","31.20176","29.91582","F","F"
"jaraid:t1r1535","المرأة في الاسلام","المرأة في الاسلام","al-Marʾa fī al-Islām","ar","NA","1901-04-01","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","F","F"
"jaraid:t1r1536","التعليم الابتدائي","التعليم الابتدائي","al-Taʿlīm al-Ibtidāʾī","ar","NA","1901-04-05","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","F","F"
"jaraid:t1r1903","شجرة الدر","شجرة الدر","Shajarat al-Durr","ar","NA","1901-05-01","","geon:361058","Alexandria","الإسكندرية","al-Iskandariyya","31.20176","29.91582","F","F"
"jaraid:t1r2331","الصاعقة","الصاعقة","al-Ṣāʿiqa","ar","NA","1901-05-11","","geon:3435910","Buenos Aires","بونس أيرس","Buenos Aires","-34.61315","-58.37723","F","F"
"jaraid:t1r1537","المرأة","المرأة","al-Marʾa","ar","NA","1901-07-06","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","F","F"
"jaraid:t1r2221","خلايا النحل","خلايا النحل","Khalāyā al-Naḥl","ar","NA","1901-07-15","","geon:3448439","Sao Paolo","سان باولو","Sao Paolo","-23.5475","-46.63611","F","F"
"jaraid:t1r1538","مجلة نقابة اتحاد مزارعي القطر المصري","مجلة نقابة اتحاد مزارعي القطر المصري","Majallat Niqābat Ittiḥād Muzāriʿī al-Quṭr al-Miṣrī","ar","NA","1901-07-20","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","F","F"
"jaraid:t1r2098","الصخرة","الصخرة","al-Ṣakhra","ar","NA","1901-08-01","","geon:5128581","New York City","نيويورك","New York City","40.71427","-74.00597","F","F"
"jaraid:t1r873","الخزان","الخزان","al-Khazzān","ar","NA","1901-08-09","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","F","F"
"jaraid:t1r874","التهذيب","التهذيب","al-Tahdhīb","ar","NA","1901-08-12","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","T","T"
