"id","title.orig","title.Arab","title.Latn","language.main","language.other","date.onset","date.terminus","location.id","toponym","toponym.Arab","toponym.Latn","lat","long","holdings","digitised"
"jaraid:t1r1","La décade égyptienne","La décade égyptienne","La décade égyptienne","ar","fr","1799-12-15","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","T","T"
"jaraid:t1r2","التنبيه","التنبيه","al-Tanbīh","ar","fr","1800","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","F","F"
"jaraid:t1r3","الجورنال الخديوي","الجورنال الخديوي","al-Jūrnāl al-Khidīwī","ar","ota","1813","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","F","F"
"jaraid:t1r4","جورنال العراق","جورنال العراق","Jūrnāl al-ʿIrāq","ar","ota","1816","","geon:98182","Baghdad","بغداد","Baghdād","33.34058","44.40088","F","F"
"jaraid:t1r5","الوقائع المصرية","الوقائع المصرية","Waqāʾiʿ-i Miṣriyye","ar","ota","1828-12-03","","geon:1146359","Būlāq","بولاق","Būlāq","32.6223","61.55484","T","F"
"jaraid:t1r843","اخبار القاصد","اخبار القاصد","Akhbār al-Qāṣid","ar","NA","1833-01-01","","geon:2562305","Valetta (Malta)","فاليتا","Valetta (Malta)","35.89968","14.5148","T","F"
"jaraid:t1r6","الجريدة العسكرية","الجريدة العسكرية","al-Jarīda al-ʿAskariyya","ar","NA","1834","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","F","F"
"jaraid:t1r7","الأخبار","الأخبار","L'Akhbar","ar","fr fr","1839-07-12","","geon:2507480","Algiers","الجزائر","Algiers","36.73225","3.08746","T","F"
"jaraid:t1r8","المبشر","المبشر","al-Mubashshir","ar","fr","1847-09-15","","geon:2507480","Algiers","الجزائر","Algiers","36.73225","3.08746","T","F"
"jaraid:t1r9","الحوادث التجارية والاعلانات الملكية","الحوادث التجارية والاعلانات الملكية","al-Ḥawādith al-Tijāriyya wa'l-Iʿlānāt al-Mulkiyya","ar","NA","1848-10-25","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","F","F"
"jaraid:t1r10","تقويم الاخبار عن الحوادث التجارية والاعلانات الملكية","تقويم الاخبار عن الحوادث التجارية والاعلانات الملكية","Taqwīm al-Akhbār ʿan al-Ḥawādith al-Tijāriyya wa'l-Iʿlānāt al-Mulkiyya","ar","NA","1848-11-01","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","F","F"
"jaraid:t1r11","اعمال الجمعية السورية","اعمال الجمعية السورية","Aʿmāl al-Jamʿiyya al-Sūriyya","ar","NA","1852-01-06","","geon:276781","Beirut","بيروت","Bayrūt","33.88894","35.49442","T","F"
"jaraid:t1r12","مجموع فوايد لنخبة افاضل","مجموع فوايد لنخبة افاضل","Majmūʿ Fawāyid li-Nakhbat Afāḍil","ar","NA","1853","","geon:276781","Beirut","بيروت","Bayrūt","33.88894","35.49442","F","F"
"jaraid:t1r16","الاحوال","الاحوال","Mirʾāt al-Aḥwāl","ar","NA","1855","","geon:745044","Istanbul","الأستانة","Astāna","41.01384","28.94966","T","F"
"jaraid:t1r15","طالب الخير لقومه","طالب الخير لقومه","Doresh Tov le-ʿAmmo","ar","jrb","1855","","geon:1275339","Bombay","ممباي","Bombay","19.07283","72.88261","F","F"
"jaraid:t1r18","السلطنة","السلطنة","al-Salṭana","ar","NA","1857-01-01","","geon:745044","Istanbul","الأستانة","Astāna","41.01384","28.94966","F","F"
"jaraid:t1r21","حديقة الاخبار","حديقة الاخبار","Ḥadīqat al-Akhbār","ar","fr","1858-06-29","","geon:276781","Beirut","بيروت","Bayrūt","33.88894","35.49442","T","T"
"jaraid:t1r23","عطارد","عطارد","ʿUṭārid","ar","NA","1858-10-09","","geon:2995469","Marseille","مرسيليا","Marseille","43.29695","5.38107","T","F"
"jaraid:t1r20","برجيس باريس","برجيس باريس","Birjīs Bārīs","ar","fr","1859-06-24","","geon:2988507","Paris","باريز","Paris","48.85341","2.3488","T","F"
"jaraid:t1r25","الجوائب","الجوائب","al-Jawāʾib","ar","ota","1860-07-01","","geon:745044","Istanbul","الأستانة","Astāna","41.01384","28.94966","T","F"
"jaraid:t1r27","الرائد التونسي","الرائد التونسي","al-Rāʾid al-Tūnisī","ar","NA","1860-07-22","","geon:2464470","Tunis","تونس","Tunis","36.81897","10.16579","T","F"
"jaraid:t1r850","L'Aigle de Paris (Birgys)","L'Aigle de Paris (Birgys)","L'Aigle de Paris (Birgys)","ar","fr","1860-08-01","","geon:2988507","Paris","باريز","Paris","48.85341","2.3488","T","F"
"jaraid:t1r26","نفير سورية / نفير سورية او الوطنية","نفير سورية / نفير سورية او الوطنية","Nafīr Sūriyya/ Nafīr Sūriyya aw al-Waṭaniyya","ar","NA","1860-09-29","","geon:276781","Beirut","بيروت","Bayrūt","33.88894","35.49442","T","F"
"jaraid:t1r29","رسالة قلب يسوع المالطية","رسالة قلب يسوع المالطية","Risālat Qalb Yasūʿ al-Mālṭiyya","ar","NA","1861-01-01","","geon:2562305","Valetta (Malta)","فاليتا","Valetta (Malta)","35.89968","14.5148","F","F"
"jaraid:t1r33","نتائج الاخبار","نتائج الاخبار","Natāʾij al-Akhbār","ar","NA","1863","","geon:2464470","Tunis","تونس","Tunis","36.81897","10.16579","F","F"
"jaraid:t1r31","اخبار عن انتشار الانجيل في اماكن مختلفة / العالم","اخبار عن انتشار الانجيل في اماكن مختلفة / العالم","Akhbār ʿan Intishār al-Anjīl fi Amākin Mukhtalifa / al-ʿĀlam","ar","NA","1863-03-01","","geon:276781","Beirut","بيروت","Bayrūt","33.88894","35.49442","T","F"
"jaraid:t1r37","يعسوب الطب","يعسوب الطب","Yaʿsūb al-Ṭibb","ar","NA","1865","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","T","F"
"jaraid:t1r35","الجريدة العسكرية المصرية","الجريدة العسكرية المصرية","al-Jarīda al-ʿAskariyya al-Miṣriyya","ar","NA","1865-09-22","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","T","F"
"jaraid:t1r36","سورية","سورية","Sūriyya","ar","ota","1865-11-19","","geon:170654","Damascus","دمشق","Dimashq","33.5102","36.29128","T","F"
"jaraid:t1r41","طرابلس الغرب","طرابلس الغرب","Ṭarābulus al-Gharb","ar","ota ota","1866","","geon:2210247","Tripoli","طرابلس الغرب","Tripoli","33.49199","36.24247","T","F"
"jaraid:t1r39","النشرة الشهرية","النشرة الشهرية","al-Nashra al-Shahriyya","ar","NA","1866-01-01","","geon:276781","Beirut","بيروت","Bayrūt","33.88894","35.49442","T","F"
"jaraid:t1r40","الشركة الشحرية","الشركة الشحرية","al-Sharika al-Shaḥriyya","ar","NA","1866-01-01","","geon:276781","Beirut","بيروت","Bayrūt","33.88894","35.49442","T","F"
"jaraid:t1r46","الجريدة الرسمية","الجريدة الرسمية","al-Jarīda al-Rasmiyya","ar","NA","1867","","geon:277226","بعبدا","بعبدا","بعبدا","33.83389","35.54417","T","F"
"jaraid:t1r48","المشتري","المشتري","al-Mushtarī","ar","NA","1867","","geon:2988507","Paris","باريز","Paris","48.85341","2.3488","F","F"
"jaraid:t1r47","لبنان","لبنان","Lubnān","ar","fr","1867","","geon:276771","Bayt al-Dīn","بيت الدين","Bayt al-Dīn","33.69417","35.58083","F","F"
"jaraid:t1r44","الفرات/ فرات","الفرات/ فرات","al-Furāt/Furāt","ar","ota hy","1867-05-28","","geon:170063","Aleppo","حلب","Ḥalab","36.20124","37.16117","T","F"
"jaraid:t1r43","اعمال شركة مار منصور دي بول","اعمال شركة مار منصور دي بول","Aʿmāl Sharikat Mār Manṣūr dī Būl","ar","NA","1867-06-01","","geon:276781","Beirut","بيروت","Bayrūt","33.88894","35.49442","T","F"
"jaraid:t1r49","وادي النيل","وادي النيل","Wādī al-Nīl","ar","NA","1867-07-01","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","T","F"
"jaraid:t1r45","غدير الفرات","غدير الفرات","Ghadīr al-Furāt","ar","ota hy","1867-09-12","","geon:170063","Aleppo","حلب","Ḥalab","36.20124","37.16117","T","T"
"jaraid:t1r51","اعمال الجمعية العلمية السورية","اعمال الجمعية العلمية السورية","Aʿmāl al-Jamʿiyya al-ʿIlmiyya al-Sūriyya","ar","NA","1868","","geon:276781","Beirut","بيروت","Bayrūt","33.88894","35.49442","T","F"
"jaraid:t1r52","مجموعة العلوم","مجموعة العلوم","Majmūʿat al-ʿUlūm","ar","NA","1868-01-15","","geon:276781","Beirut","بيروت","Bayrūt","33.88894","35.49442","T","F"
"jaraid:t1r53","رجوم الغساق الى فارس الشدياق","رجوم الغساق الى فارس الشدياق","Rujūm wa-Ghassāq ilā Fāris al-Shidyāq","ar","NA","1868-05-04","","geon:2643743","London","لندن","London","51.50853","-0.12574","T","F"
"jaraid:t1r55","الزوراء","الزوراء","al-Zawrāʾ","ar","ota","1869-06-15","","geon:98182","Baghdad","بغداد","Baghdād","33.34058","44.40088","T","T"
"jaraid:t1r68","الزهرة","الزهرة","al-Zahra","ar","NA","1870","","geon:276781","Beirut","بيروت","Bayrūt","33.88894","35.49442","T","T"
"jaraid:t1r59","Statistique de l'Égypte","Statistique de l'Égypte","Statistique de l'Égypte","ar","NA","1870","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","F","F"
"jaraid:t1r57","ادزيري","ادزيري","Adzīrī","ar","jrb fr","1870","","geon:2507480","Algiers","الجزائر","Algiers","36.73225","3.08746","F","F"
"jaraid:t1r64","المنبه التجاري المصري","المنبه التجاري المصري","al-Munabbih al-Tijārī al-Miṣrī","ar","it arz fr","1870","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","F","F"
"jaraid:t1r61","الجنان","الجنان","al-Jinān","ar","NA","1870-01-01","","geon:276781","Beirut","بيروت","Bayrūt","33.88894","35.49442","T","T"
"jaraid:t1r62","المجمع الفاتكاني","المجمع الفاتكاني","al-Majmaʿ al-Fātikānī","ar","NA","1870-01-01","","geon:276781","Beirut","بيروت","Bayrūt","33.88894","35.49442","F","F"
"jaraid:t1r63","المهماز","المهماز","al-Mihmāz","ar","NA","1870-02-25","","geon:276781","Beirut","بيروت","Bayrūt","33.88894","35.49442","T","F"
"jaraid:t1r67","روضة المدارس المصرية","روضة المدارس المصرية","Rawḍat al-Madāris al-Miṣriyya","ar","NA","1870-04-17","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","T","T"
"jaraid:t1r65","النحلة","النحلة","al-Naḥla","ar","NA","1870-05-11","","geon:276781","Beirut","بيروت","Bayrūt","33.88894","35.49442","T","F"
"jaraid:t1r60","الجنة","الجنة","al-Janna","ar","NA","1870-06-11","","geon:276781","Beirut","بيروت","Bayrūt","33.88894","35.49442","T","F"
"jaraid:t1r66","نزهة الافكار","نزهة الافكار","Nuzhat al-Afkār","ar","NA","1870-08-12","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","F","F"
"jaraid:t1r58","البشير","البشير","al-Bashīr","ar","NA","1870-09-03","","geon:276781","Beirut","بيروت","Bayrūt","33.88894","35.49442","T","T"
"jaraid:t1r72","النفع العزيم لاهل هذا الاقليم","النفع العزيم لاهل هذا الاقليم","al-Nafʿ al-ʿAzīm li-Ahl hādhā al-Iqlīm","ar","NA","1871","","geon:1172451","Lahore","لاهور","Lahore","31.558","74.35071","F","F"
"jaraid:t1r74","النحلة الحرة","النحلة الحرة","al-Naḥla al-Ḥurra","ar","NA","1871","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","F","F"
"jaraid:t1r73","النحلة و الزهرة","النحلة و الزهرة","al-Naḥla wa'l-Zahra","ar","NA","1871","","geon:276781","Beirut","بيروت","Bayrūt","33.88894","35.49442","T","F"
"jaraid:t1r71","كوكب الصبح المنير","كوكب الصبح المنير","Kawkab al-Ṣubḥ al-Munīr","ar","NA","1871-01-01","","geon:276781","Beirut","بيروت","Bayrūt","33.88894","35.49442","T","F"
"jaraid:t1r75","النجاح","النجاح","al-Najāḥ","ar","NA","1871-01-09","","geon:276781","Beirut","بيروت","Bayrūt","33.88894","35.49442","T","F"
"jaraid:t1r76","النشرة الاسبوعية","النشرة الاسبوعية","al-Nashra al-Usbūʿiyya","ar","NA","1871-01-10","","geon:276781","Beirut","بيروت","Bayrūt","33.88894","35.49442","T","F"
"jaraid:t1r70","الجنينة","الجنينة","al-Junayna","ar","NA","1871-02-03","","geon:276781","Beirut","بيروت","Bayrūt","33.88894","35.49442","F","F"
"jaraid:t1r81","اليمن","اليمن","al-Yaman","ar","ota","1872","","geon:71137","Sanaa","صنعاء","Sanaa","15.35472","44.20667","F","F"
"jaraid:t1r79","فرس","فرس","Fars","ar","fa","1872","","geon:115019","Shiraz","شيراز","Shiraz","29.61031","52.53113","F","F"
"jaraid:t1r78","آل سام","آل سام","Āl Sām","ar","NA","1872","","geon:2643743","London","لندن","London","51.50853","-0.12574","F","F"
"jaraid:t1r80","جورنال عمومي لكافة الاعلانات","جورنال عمومي لكافة الاعلانات","Jūrnāl ʿUmūmī li-Kāfat al-Iʿlānāt","ar","fr","1872","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","F","F"
"jaraid:t1r84","الجعبة","الجعبة","al-Juʿba","ar","NA","1873","","geon:275761","Darʿūn","درعون","Darʿūn","33.97722","35.65861","F","F"
"jaraid:t1r86","الكوكب الشرقي","الكوكب الشرقي","al-Kawkab al-Sharqī","ar","NA","1873","","geon:361058","Alexandria","الإسكندرية","al-Iskandariyya","31.20176","29.91582","F","F"
"jaraid:t1r88","شعاع الكوكب الشرقي","شعاع الكوكب الشرقي","Shuʿāʿ al-Kawkab al-Sharqī","ar","NA","1873","","geon:361058","Alexandria","الإسكندرية","al-Iskandariyya","31.20176","29.91582","F","F"
"jaraid:t1r83","حديقة الاخبار","حديقة الاخبار","Ḥadīqat al-Akhbār","ar","NA","1873","","geon:361058","Alexandria","الإسكندرية","al-Iskandariyya","31.20176","29.91582","F","F"
"jaraid:t1r87","Ha-Mevaser","Ha-Mevaser","Ha-Mevaser","ar","jrb","1873","","geon:1275004","Calcutta","كلكتا","Calcutta","22.56263","88.36304","F","F"
"jaraid:t1r85","جريدة اركان حرب الجيش المصري","جريدة اركان حرب الجيش المصري","Jarīdat Arkān Ḥarb al-Jaysh al-Miṣrī","ar","NA","1873-07-11","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","T","F"
"jaraid:t1r90","اخبار طبية","اخبار طبية","Akhbār Ṭibbiyya","ar","NA","1874","","geon:276781","Beirut","بيروت","Bayrūt","33.88894","35.49442","T","F"
"jaraid:t1r91","النحلة الفتية","النحلة الفتية","al-Naḥla al-Fatiya","ar","NA","1874","","geon:276781","Beirut","بيروت","Bayrūt","33.88894","35.49442","F","F"
"jaraid:t1r92","النزهة الخيرية","النزهة الخيرية","al-Nuzha al-Khayriyya","ar","NA","1874","","geon:2464470","Tunis","تونس","Tunis","36.81897","10.16579","T","F"
"jaraid:t1r93","روضة الاخبار","روضة الاخبار","Rawḍat al-Akhbār","ar","NA","1874","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","T","F"
"jaraid:t1r94","التقدم","التقدم","al-Taqaddum","ar","NA","1874-01-01","","geon:276781","Beirut","بيروت","Bayrūt","33.88894","35.49442","T","F"
"jaraid:t1r97","الموصل","الموصل","al-Mawṣil","ar","otaota","1875","","geon:99072","Mosul","الموصل","Moṣūl","36.335","43.11889","T","F"
"jaraid:t1r867","مظلع العلوم ومنبع اخبار الهند والروم","مظلع العلوم ومنبع اخبار الهند والروم","Maẓlaʿ al-ʿUlūm wa-Manbaʿ Akhbār al-Hind wa-l-Rūm","ar","NA","1875","","geon:1275339","Bombay","ممباي","Bombay","19.07283","72.88261","F","F"
"jaraid:t1r866","شفاء الادور","شفاء الادور","Shifāʾ al-Udūr","ar","NA","1875","","geon:1172451","Lahore","لاهور","Lahore","31.558","74.35071","F","F"
"jaraid:t1r96","حديقة الابصار","حديقة الابصار","Ḥadīqat al-Abṣār","ar","NA","1875","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","F","F"
"jaraid:t1r98","ثمرات الفنون","ثمرات الفنون","Thamarāt al-Funūn","ar","NA","1875-04-20","","geon:276781","Beirut","بيروت","Bayrūt","33.88894","35.49442","T","T"
"jaraid:t1r102","الغزال","الغزال","al-Ghazzāl","ar","NA","1876","","geon:281184","Jerusalem","القدس","al-Quds","31.76904","35.21633","F","F"
"jaraid:t1r106","صدى الاهرام","صدى الاهرام","Ṣadā al-Ahrām","ar","NA","1876","","geon:361058","Alexandria","الإسكندرية","al-Iskandariyya","31.20176","29.91582","T","F"
"jaraid:t1r104","المقتطف","المقتطف","al-Muqtaṭaf","ar","NA","1876-05-01","","geon:276781","Beirut","بيروت","Bayrūt","33.88894","35.49442","T","T"
"jaraid:t1r100","الاهرام","الاهرام","al-Ahrām","ar","NA","1876-08-05","","geon:361058","Alexandria","الإسكندرية","al-Iskandariyya","31.20176","29.91582","T","T"
"jaraid:t1r103","مرآة الاحوال في السياسة والاخلاق","مرآة الاحوال في السياسة والاخلاق","Mirʾāt al-Aḥwāl fi'l-Siyāsa wa'l-Akhlāq","ar","NA","1876-10-19","","geon:2643743","London","لندن","London","51.50853","-0.12574","T","F"
"jaraid:t1r111","الكشاف","الكشاف","al-Kashshāf","ar","NA","1877","","geon:361058","Alexandria","الإسكندرية","al-Iskandariyya","31.20176","29.91582","T","F"
"jaraid:t1r113","المحروسة","المحروسة","al-Maḥrūsa","ar","NA","1877","","geon:361058","Alexandria","الإسكندرية","al-Iskandariyya","31.20176","29.91582","T","F"
"jaraid:t1r117","النحلة الادبية","النحلة الادبية","al-Naḥla al-Adabiyya","ar","NA","1877","","","","","","","","T","F"
"jaraid:t1r121","الشاطر الكسلان والنائم اليقظان","الشاطر الكسلان والنائم اليقظان","al-Shāṭir al-Kaslān wa'l-Nāʾim al-Yaqẓān","ar","NA","1877","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","F","F"
"jaraid:t1r122","الوطن","الوطن","al-Waṭan","ar","NA","1877","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","T","F"
"jaraid:t1r119","الصدى","الصدى","al-Ṣadā","ar","fr","1877","","geon:2988507","Paris","باريز","Paris","48.85341","2.3488","T","F"
"jaraid:t1r118","نشرة التلغراف","نشرة التلغراف","Nashrat al-Tilighrāf","ar","NA","1877","","geon:361058","Alexandria","الإسكندرية","al-Iskandariyya","31.20176","29.91582","F","F"
"jaraid:t1r108","ابو نظارة زرقا","ابو نظارة زرقا","Abū Naẓẓāra Zarqā","ar","arz","1877-03-21","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","F","F"
"jaraid:t1r116","النحلة","النحلة","The Bee","ar","en","1877-04-02","","geon:2643743","London","لندن","London","51.50853","-0.12574","T","F"
"jaraid:t1r120","الشهبى","الشهبى","al-Shahbā","ar","NA","1877-05-10","","geon:170063","Aleppo","حلب","Ḥalab","36.20124","37.16117","T","F"
"jaraid:t1r115","مصر","مصر","Miṣr","ar","NA","1877-07-01","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","T","F"
"jaraid:t1r109","حقيقة الاخبار","حقيقة الاخبار","Ḥaqīqat al-Akhbār","ar","NA","1877-08-02","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","T","F"
"jaraid:t1r112","لسان الحال","لسان الحال","Lisān al-Ḥāl","ar","NA","1877-10-18","","geon:276781","Beirut","بيروت","Bayrūt","33.88894","35.49442","T","T"
"jaraid:t1r110","جريدة رسمية","جريدة رسمية","Jarīda Rasmiyya","ar","fr it","1877-10-23","","geon:361058","Alexandria","الإسكندرية","al-Iskandariyya","31.20176","29.91582","F","F"
"jaraid:t1r125","الباكورة لاعمال جمعية مساعدة المرضى الاورثوذوكسية","الباكورة لاعمال جمعية مساعدة المرضى الاورثوذوكسية","al-Bākūra li-Aʿmāl Jamʿiyyat Musāʿadat al-Marḍā al-Ūrthūdhūksiyya","ar","NA","1878","","geon:276781","Beirut","بيروت","Bayrūt","33.88894","35.49442","F","F"
"jaraid:t1r128","دمشق","دمشق","Dimashq","ar","ota","1878","","geon:170654","Damascus","دمشق","Dimashq","33.5102","36.29128","T","F"
"jaraid:t1r138","زمان","زمان","Zamān","ar","ota","1878","","geon:146268","Nicosia, Cyprus","نيقوسيا","Nicosia, Cyprus","35.17531","33.3642","F","F"
"jaraid:t1r863","حديقة الاخبار","حديقة الاخبار","Ḥadīqat al-Akhbār","ar","NA","1878","","geon:1275339","Bombay","ممباي","Bombay","19.07283","72.88261","F","F"
"jaraid:t1r126","Le Bavard Egyptien","Le Bavard Egyptien","Le Bavard Egyptien","ar","NA","1878","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","F","F"
"jaraid:t1r129","الاسكندرية","الاسكندرية","al-Iskandariyya","ar","NA","1878","","geon:361058","Alexandria","الإسكندرية","al-Iskandariyya","31.20176","29.91582","T","F"
"jaraid:t1r131","النيل","النيل","al-Nīl","ar","fr","1878","","geon:361058","Alexandria","الإسكندرية","al-Iskandariyya","31.20176","29.91582","F","F"
"jaraid:t1r135","التقدم","التقدم","al-Taqaddum","ar","NA","1878","","geon:276781","Beirut","بيروت","Bayrūt","33.88894","35.49442","T","F"
"jaraid:t1r124","العمالة التونسية","العمالة التونسية","al-ʿAmāla al-Tūnisiyya","ar","jrb fr","1878","","geon:3174659","Livorno","ليفورنو","Livorno","43.54427","10.32615","F","F"
"jaraid:t1r132","بيره اليهودية","بيره اليهودية","Pīrah al-Yahūdiyya","ar","jrb","1878","","geon:1275004","Calcutta","كلكتا","Calcutta","22.56263","88.36304","F","F"
"jaraid:t1r134","الطبيب","الطبيب","al-Ṭabīb","ar","NA","1878-01-01","","geon:276781","Beirut","بيروت","Bayrūt","33.88894","35.49442","T","T"
"jaraid:t1r130","المشكات","المشكات","al-Mishkāt","ar","NA","1878-04-01","","geon:276781","Beirut","بيروت","Bayrūt","33.88894","35.49442","F","F"
"jaraid:t1r137","الوقت ( لجريدة الاهرام )","الوقت ( لجريدة الاهرام )","al-Waqt (li-Jarīdat al-Ahrām)","ar","NA","1878-04-01","","geon:361058","Alexandria","الإسكندرية","al-Iskandariyya","31.20176","29.91582","T","F"
"jaraid:t1r136","التجارة","التجارة","al-Tijāra","ar","NA","1878-05-15","","geon:361058","Alexandria","الإسكندرية","al-Iskandariyya","31.20176","29.91582","T","F"
"jaraid:t1r127","البوسفور","البوسفور","al-Būsfūr","ar","fr","1878-05-15","","geon:358619","Port Said","بور سعيد","Port Said","31.26531","32.3019","T","F"
"jaraid:t1r133","رحلة ابي نظارة زرقا","رحلة ابي نظارة زرقا","Riḥlat Abī Naẓẓāra Zarqā","ar","NA","1878-08-01","","geon:2988507","Paris","باريز","Paris","48.85341","2.3488","T","T"
"jaraid:t1r148","الخلافة","الخلافة","al-Khilāfa","ar","ota","1879","","geon:2427123","N'Djamena","نابولي","Naples","12.10672","15.0444","F","F"
"jaraid:t1r149","الميمون","الميمون","al-Maymūn","ar","arz","1879","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","F","F"
"jaraid:t1r143","استقبال","استقبال","Istiqbāl","ar","ota","1879","","geon:2427123","N'Djamena","نابولي","Naples","12.10672","15.0444","F","F"
"jaraid:t1r145","جهينة الاخبار","جهينة الاخبار","Juhaynat al-Akhbār","ar","NA","1879","","geon:146268","Nicosia, Cyprus","نيقوسيا","Nicosia, Cyprus","35.17531","33.3642","F","F"
"jaraid:t1r146","كنز الزراعة","كنز الزراعة","Kanz al-Zirāʿa","ar","fr","1879","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","F","F"
"jaraid:t1r142","حل المسألتين الشرقية والغربية","حل المسألتين الشرقية والغربية","Ḥall al-Masʾalatayn al-Sharqiyya wa'l-Gharbiyya","ar","NA","1879","","geon:2643743","London","لندن","London","51.50853","-0.12574","F","F"
"jaraid:t1r155","صنعاء","صنعاء","Ṣanʿāʾ","ar","ota","1879","","geon:71137","Sanaa","صنعاء","Sanaa","15.35472","44.20667","T","F"
"jaraid:t1r150","الشرق","الشرق","Mirʾāt al-Sharq","ar","NA","1879-02-24","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","T","F"
"jaraid:t1r140","ابو نظارة زرقا","ابو نظارة زرقا","Abū Naẓẓāra Zarqā","ar","fr","1879-03-21","","geon:2988507","Paris","باريز","Paris","48.85341","2.3488","T","T"
"jaraid:t1r147","الكوكب المصري","الكوكب المصري","al-Kawkab al-Miṣrī","ar","NA","1879-05-15","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","F","F"
"jaraid:t1r154","السلام","السلام","al-Salām","ar","NA","1879-07-23","","geon:745044","Istanbul","الأستانة","Astāna","41.01384","28.94966","T","F"
"jaraid:t1r144","الاعتدال","الاعتدال","al-Iʿtidāl","ar","NA","1879-07-25","","geon:170063","Aleppo","حلب","Ḥalab","36.20124","37.16117","T","F"
"jaraid:t1r151","مصر الفتاة","مصر الفتاة","Miṣr al-Fatāt","ar","fr","1879-09-11","","geon:361058","Alexandria","الإسكندرية","al-Iskandariyya","31.20176","29.91582","F","F"
"jaraid:t1r153","النظارات المصرية","النظارات المصرية","al-Naẓẓārāt al-Miṣriyya","ar","NA","1879-09-16","","geon:2988507","Paris","باريز","Paris","48.85341","2.3488","T","T"
"jaraid:t1r141","بستان الاخبار","بستان الاخبار","Bustān al-Akhbār","ar","NA","1879-11-01","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","F","F"
"jaraid:t1r152","مصر القاهرة","مصر القاهرة","Miṣr al-Qāhira","ar","NA","1879-12-24","","geon:2988507","Paris","باريز","Paris","48.85341","2.3488","T","F"
"jaraid:t1r157","ابو الحول","ابو الحول","Abu'l-Ḥawl","ar","NA","1880","","geon:2988507","Paris","باريز","Paris","48.85341","2.3488","F","F"
"jaraid:t1r160","الانباء","الانباء","al-Anbāʾ","ar","NA","1880","","geon:2988507","Paris","باريز","Paris","48.85341","2.3488","F","F"
"jaraid:t1r163","الانسان","الانسان","al-Insān","ar","NA","1880","","geon:745044","Istanbul","الأستانة","Astāna","41.01384","28.94966","F","F"
"jaraid:t1r168","المستقبل","المستقبل","al-Mustaqbal","ar","NA","1880","","geon:2525473","Cagliari, Sardinia","كالياري","Cagliari, Sardinia","39.23054","9.11917","F","F"
"jaraid:t1r3326","النفع العظيم","النفع العظيم","al-Nafʿ al-ʿAẓīm","ar","NA","1880","","geon:1167710","Punjab","Punjab","Punjab","30.85","72.31667","F","F"
"jaraid:t1r173","الرجاء","الرجاء","al-Rajāʾ","ar","NA","1880","","geon:2988507","Paris","باريز","Paris","48.85341","2.3488","F","F"
"jaraid:t1r174","الشرق","الشرق","al-Sharq","ar","NA","1880","","geon:2988507","Paris","باريز","Paris","48.85341","2.3488","T","F"
"jaraid:t1r167","مفردات ميزانية الحكومة المصرية","مفردات ميزانية الحكومة المصرية","Mufradāt Mīzāniyyat al-Ḥukūma al-Miṣriyya","ar","NA","1880","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","F","F"
"jaraid:t1r166","ميزانية الدولة المصرية","ميزانية الدولة المصرية","Mīzāniyyat al-Dawla al-Miṣriyya","ar","NA","1880","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","T","F"
"jaraid:t1r172","نصرة الاخبار","نصرة الاخبار","Naṣrat al-Akhbār","ar","NA","1880","","geon:1273294","Delhi","دلهي","Delhi","28.65195","77.23149","F","F"
